transfer_id,total_time,read_wait_time,read_proc_time,read_throughput,read_throughput_pb,read_load,deser_wait_time,deser_proc_time,deser_throughput,deser_throughput_pb,deser_load,comp_wait_time,comp_proc_time,comp_throughput,comp_throughput_pb,comp_load,send_wait_time,send_proc_time,send_throughput,send_throughput_pb,send_load
0,1461443,15739.50,497.75,207.11,2092.36,5.65,1728747195298.25,732.00,201.84,1128.80,0.24,16726.00,13.00,197.19,253923.08,0.24,1610.00,16072.00,195.09,204.27,50.29
0,18990,15836.75,488.75,206.00,2102.68,5.65,1728747712467.75,724.00,200.73,1140.29,0.00,16812.00,11.00,196.22,300090.91,0.00,1491.00,16180.00,194.24,202.97,51.18
0,20392,16105.75,497.50,202.54,2040.99,5.83,1728750249370.50,759.00,197.35,1087.63,0.17,17099.00,12.00,192.91,275083.33,0.17,1514.00,16481.00,190.94,199.26,49.17
0,22544,17026.50,631.00,192.58,2861.21,32.53,1728761137484.50,1582.50,185.35,1042.50,0.05,18163.00,30.00,181.35,109983.33,0.05,3995.00,17884.00,179.38,183.47,329.21
0,19823,15829.50,634.50,206.54,2846.96,38.44,1728761242038.00,1585.50,198.78,1040.62,0.28,16949.00,36.00,194.26,91652.78,0.28,3800.00,16672.00,192.18,196.81,319.06
0,19255,16201.50,634.00,201.98,2862.49,32.44,1728761296676.00,1590.00,194.47,1037.76,0.17,17325.00,34.00,190.07,97044.12,0.17,3779.00,17038.00,188.04,192.57,334.33
0,26998,15521.00,819.00,208.10,4152.01,34.59,1728761684397.00,2677.00,201.90,1232.54,0.35,16673.00,43.00,197.37,76732.56,0.35,20235.00,16534.00,192.25,196.85,319.71
0,20026,16149.00,820.00,200.39,4146.95,32.56,1728761798022.00,2773.00,194.42,1189.87,0.50,17327.00,41.00,189.98,80475.61,0.50,21918.00,17184.00,184.90,189.39,316.06
0,19035,15647.00,832.00,206.35,4087.14,27.53,1728762307129.00,2692.00,200.20,1225.67,0.82,16818.00,47.00,195.64,70202.13,0.82,3015.00,16535.00,193.81,198.61,211.82
0,23369,15937.00,857.00,202.48,3967.91,26.17,1728763266799.00,2746.00,196.46,1201.57,0.61,17140.00,37.00,192.08,89175.68,0.61,3084.00,16837.00,190.28,195.06,203.44
0,24129,15913.00,840.00,202.97,4048.21,26.00,1728763467042.00,2749.00,196.94,1200.25,0.83,17096.00,47.00,192.47,70202.13,0.83,2766.00,16798.00,190.77,195.53,203.89
0,19756,16161.00,832.00,200.10,4087.14,26.11,1728763944762.00,2719.00,194.15,1213.50,0.78,17328.00,40.00,189.96,82487.50,0.78,3013.00,17035.00,188.23,192.78,205.39
1728764041015611897,62291,1004.00,56266.00,164.89,167.84,1841.93,44634.00,12648.00,164.89,746.65,0.00,57720.00,626.00,161.85,15085.76,0.00,583180.00,5989.00,158.33,1557.41,31.78
1728764154655471312,62298,980.00,55897.00,166.03,168.95,1762.51,44220.00,12670.00,166.03,745.36,0.05,57360.00,593.00,162.95,15925.27,0.05,584798.00,11941.00,159.38,781.09,108.66
1728764219798339981,87291,70793.00,10455.00,116.23,903.27,52.98,70753.00,10525.00,116.23,897.26,0.90,55832.00,26495.00,114.71,356.43,0.90,851057.00,82025.00,112.13,113.76,1796.38
1728764309780934449,84239,71529.00,7036.00,120.20,1342.20,48.31,68645.00,9951.00,120.20,949.02,2.70,67116.00,12507.00,118.60,755.07,2.70,801987.00,79301.00,115.94,117.66,1810.91
1728764396913317687,86257,73682.00,7196.00,116.76,1312.35,46.80,70492.00,10426.00,116.76,905.78,0.96,69163.00,12793.00,115.23,738.19,0.96,859673.00,81696.00,112.52,114.17,1823.39
1728764486606837936,86269,73317.00,7436.00,116.94,1270.00,46.99,69960.00,10828.00,116.94,872.15,0.87,65963.00,15872.00,115.40,594.99,0.87,845964.00,81519.00,112.75,114.42,1820.04
0,69023,2933.00,54435.00,164.62,173.49,443.02,45432.00,11942.00,164.62,790.80,0.02,58253.00,184.00,161.60,51324.73,0.02,182634.00,5996.00,158.11,1555.58,23.75
1728765289008925750,62228,51657.71,3970.29,169.60,342.19,31.36,51220.50,7467.00,163.28,632.38,0.81,58700.00,222.00,160.27,42539.13,0.81,5882.00,53040.00,160.27,178.05,183.10
1728770514414264978,61249,50145.43,4028.86,174.15,336.35,34.52,50239.00,7429.50,167.39,635.57,0.59,57296.00,206.00,164.23,45843.14,0.59,6303.00,51247.00,164.21,184.27,180.28
0,81461,3165.00,53973.00,165.28,174.97,442.97,45331.00,11815.00,165.28,799.30,0.05,58042.00,176.00,162.21,53657.67,0.05,188662.00,6186.00,158.57,1507.92,23.69
0,65577,2910.00,54349.00,164.93,173.76,443.08,45311.00,11955.00,164.93,789.94,0.03,58128.00,184.00,161.95,51324.73,0.03,181163.00,5999.00,158.47,1554.88,23.69
0,89003,2940.00,53949.00,166.00,175.05,442.95,45152.00,11744.00,166.00,804.13,0.00,57833.00,167.00,162.82,56549.40,0.00,180463.00,5942.00,159.33,1569.72,23.64
0,116642,44596.50,3821.75,194.18,311.81,73.46,50670.75,3467.75,181.35,680.89,0.28,53105.00,95.00,177.52,99410.53,0.28,8024.00,49688.00,176.78,189.65,388.65
0,95033,45452.38,3758.25,191.05,315.07,71.00,51180.75,3426.75,178.54,689.00,0.33,53981.00,89.00,174.66,106112.36,0.33,8200.00,51228.00,173.89,183.90,391.00
0,59363,43934.38,4018.75,196.06,294.00,71.75,49592.00,3617.00,183.22,652.77,0.30,52668.00,95.00,178.99,99410.53,0.30,8484.00,48777.00,178.24,193.19,390.00
0,22331,6129.00,10785.50,557.00,113.06,375.81,17219.25,6313.50,500.86,373.98,0.86,19887.00,96.00,472.58,98375.00,0.86,10053.00,11057.00,470.86,851.99,78.48
1728820580861928201,72135,36148.00,2933.00,199.92,2663.91,26.22,37345.00,10304.00,198.36,916.51,0.57,68475.00,177.00,137.56,53354.17,0.57,22098.00,47554.00,137.45,198.50,52.30
1728820655729417600,58175,40222.00,2919.00,181.11,2676.69,4.96,42033.00,10308.00,180.55,916.15,4.40,28515.00,25759.00,174.00,366.62,4.40,3060.00,52162.00,173.90,180.99,59.49
1728820716639709091,55159,38640.00,2840.00,188.36,2751.14,4.87,40314.00,9939.00,188.07,950.16,3.21,39348.00,12006.00,183.89,786.58,3.21,2574.00,50158.00,183.70,188.20,69.81
1728820774335383947,55127,38574.00,2910.00,188.34,2684.97,4.79,40237.00,10135.00,187.63,931.79,2.58,39517.00,11955.00,183.47,789.94,2.58,2598.00,50275.00,183.30,187.74,70.21
1728820832033826707,56133,39452.00,2929.00,184.36,2667.55,6.34,41206.00,10249.00,183.67,921.43,2.96,37650.00,14896.00,179.72,633.97,2.96,2518.00,51358.00,179.54,183.80,68.08
1728827132489446915,68122,1644.00,58639.00,156.66,161.05,77.42,46748.00,13549.00,156.66,697.00,0.03,64029.00,595.00,146.13,15871.74,0.03,50118.00,15804.00,146.00,597.25,1.25
1728827203471526656,69133,1721.00,62600.00,146.82,150.86,75.82,50228.00,14110.00,146.82,669.29,0.00,33685.00,31776.00,144.26,297.20,0.00,58324.00,8030.00,144.15,1175.59,2.39
1728827275574053089,66116,1675.00,60125.00,152.81,157.07,77.29,49231.00,12582.00,152.81,750.57,0.02,47098.00,15846.00,150.03,595.97,0.02,55952.00,8239.00,149.88,1145.63,1.29
1728827345639678827,68147,1698.00,61279.00,149.95,154.11,76.09,49734.00,13258.00,149.95,712.30,0.02,48166.00,15960.00,147.27,591.71,0.02,55784.00,9392.00,147.14,1005.06,2.28
1728827416638779690,67119,1728.00,60344.00,152.14,156.50,75.95,49194.00,12891.00,152.14,732.58,0.03,44563.00,18639.00,149.42,506.66,0.03,55892.00,8370.00,149.29,1127.74,2.47
